±àºÅ,uAddr,uIR,uAR,AB,DB,AR,DR,IB,PC,IR,SP,TR,A,ALU,Shift,PSW,R0,R1,R2,R3,R4,R5,R6,R7,IF,INTR,REQ,MASK
36,="004",="00000A08",="00B",="FFFF",="FFFF",="0047",="1601",="0000",="0048",="1601",="002F",="447B",="447B",="447B",="447B",="0",="447B",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
37,="00B",="20080012",="012",="FFFF",="FFFF",="0048",="1601",="0048",="0048",="1601",="002F",="447B",="447B",="447B",="447B",="0",="447B",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
38,="012",="00069016",="016",="0048",="66CA",="0048",="66CA",="0000",="0049",="1601",="002F",="447B",="447B",="447B",="447B",="0",="447B",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
39,="016",="D0000006",="006",="FFFF",="FFFF",="0048",="66CA",="66CA",="0049",="1601",="002F",="66CA",="447B",="447B",="447B",="0",="447B",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
40,="006",="00000A28",="028",="FFFF",="FFFF",="0048",="66CA",="0000",="0049",="1601",="002F",="66CA",="447B",="447B",="447B",="0",="447B",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
41,="028",="54000007",="007",="FFFF",="FFFF",="0048",="66CA",="0000",="0049",="1601",="002F",="66CA",="0000",="0000",="447B",="0",="447B",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
42,="007",="00000800",="041",="FFFF",="FFFF",="0048",="66CA",="0000",="0049",="1601",="002F",="66CA",="0000",="0000",="447B",="0",="447B",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
43,="041",="94000040",="040",="FFFF",="FFFF",="0048",="66CA",="66CA",="0049",="1601",="002F",="66CA",="66CA",="66CA",="447B",="0",="447B",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
44,="040",="00300E50",="050",="FFFF",="FFFF",="0048",="66CA",="0000",="0049",="1601",="002F",="66CA",="66CA",="66CA",="66CA",="0",="447B",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
45,="050",="68000280",="000",="FFFF",="FFFF",="0048",="66CA",="66CA",="0049",="1601",="002F",="66CA",="66CA",="66CA",="66CA",="0",="447B",="66CA",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
46,="000",="20080001",="001",="FFFF",="FFFF",="0049",="66CA",="0049",="0049",="1601",="002F",="66CA",="66CA",="66CA",="66CA",="0",="447B",="66CA",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
47,="001",="00069002",="002",="0049",="2001",="0049",="2001",="0000",="004A",="1601",="002F",="66CA",="66CA",="66CA",="66CA",="0",="447B",="66CA",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
48,="002",="CC000003",="003",="FFFF",="FFFF",="0049",="2001",="2001",="004A",="2001",="002F",="66CA",="66CA",="66CA",="66CA",="0",="447B",="66CA",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
49,="003",="00000404",="005",="FFFF",="FFFF",="0049",="2001",="0000",="004A",="2001",="002F",="66CA",="66CA",="66CA",="66CA",="0",="447B",="66CA",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
50,="005",="00000A08",="008",="FFFF",="FFFF",="0049",="2001",="0000",="004A",="2001",="002F",="66CA",="66CA",="66CA",="66CA",="0",="447B",="66CA",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
51,="008",="50000006",="006",="FFFF",="FFFF",="0049",="2001",="66CA",="004A",="2001",="002F",="447B",="66CA",="66CA",="66CA",="0",="447B",="66CA",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
52,="006",="00000A28",="028",="FFFF",="FFFF",="0049",="2001",="0000",="004A",="2001",="002F",="447B",="66CA",="66CA",="66CA",="0",="447B",="66CA",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
53,="028",="54000007",="007",="FFFF",="FFFF",="0049",="2001",="66CA",="004A",="2001",="002F",="447B",="66CA",="66CA",="66CA",="0",="447B",="66CA",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
54,="007",="00000800",="042",="FFFF",="FFFF",="0049",="2001",="0000",="004A",="2001",="002F",="447B",="66CA",="66CA",="66CA",="0",="447B",="66CA",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
55,="042",="98700E50",="050",="FFFF",="FFFF",="0049",="2001",="447B",="004A",="2001",="002F",="447B",="66CA",="AB45",="AB45",="A",="447B",="66CA",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
56,="050",="68000280",="000",="FFFF",="FFFF",="0049",="2001",="AB45",="004A",="2001",="002F",="447B",="66CA",="66CA",="AB45",="A",="447B",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
57,="000",="20080001",="001",="FFFF",="FFFF",="004A",="2001",="004A",="004A",="2001",="002F",="447B",="66CA",="66CA",="AB45",="A",="447B",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
58,="001",="00069002",="002",="004A",="2040",="004A",="2040",="000A",="004B",="2001",="002F",="447B",="66CA",="66CA",="AB45",="A",="447B",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
59,="002",="CC000003",="003",="FFFF",="FFFF",="004A",="2040",="2040",="004B",="2040",="002F",="447B",="66CA",="66CA",="AB45",="A",="447B",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
60,="003",="00000404",="004",="FFFF",="FFFF",="004A",="2040",="000A",="004B",="2040",="002F",="447B",="66CA",="66CA",="AB45",="A",="447B",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
61,="004",="00000A08",="008",="FFFF",="FFFF",="004A",="2040",="000A",="004B",="2040",="002F",="447B",="66CA",="66CA",="AB45",="A",="447B",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
62,="008",="50000006",="006",="FFFF",="FFFF",="004A",="2040",="447B",="004B",="2040",="002F",="AB45",="66CA",="66CA",="AB45",="A",="447B",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
63,="006",="00000A28",="028",="FFFF",="FFFF",="004A",="2040",="000A",="004B",="2040",="002F",="AB45",="66CA",="66CA",="AB45",="A",="447B",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
64,="028",="54000007",="007",="FFFF",="FFFF",="004A",="2040",="447B",="004B",="2040",="002F",="AB45",="447B",="447B",="AB45",="A",="447B",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
65,="007",="00000800",="042",="FFFF",="FFFF",="004A",="2040",="000A",="004B",="2040",="002F",="AB45",="447B",="447B",="AB45",="A",="447B",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
66,="042",="98700E50",="050",="FFFF",="FFFF",="004A",="2040",="AB45",="004B",="2040",="002F",="AB45",="447B",="EFC0",="EFC0",="8",="447B",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
67,="050",="68000280",="000",="FFFF",="FFFF",="004A",="2040",="EFC0",="004B",="2040",="002F",="AB45",="447B",="447B",="EFC0",="8",="EFC0",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
68,="000",="20080001",="001",="FFFF",="FFFF",="004B",="2040",="004B",="004B",="2040",="002F",="AB45",="447B",="447B",="EFC0",="8",="EFC0",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
69,="001",="00069002",="002",="004B",="0002",="004B",="0002",="0008",="004C",="2040",="002F",="AB45",="447B",="447B",="EFC0",="8",="EFC0",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
70,="002",="CC000003",="003",="FFFF",="FFFF",="004B",="0002",="0002",="004C",="0002",="002F",="AB45",="447B",="447B",="EFC0",="8",="EFC0",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
71,="003",="00000404",="007",="FFFF",="FFFF",="004B",="0002",="0008",="004C",="0002",="002F",="AB45",="447B",="447B",="EFC0",="8",="EFC0",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
72,="007",="00000800",="05A",="FFFF",="FFFF",="004B",="0002",="0008",="004C",="0002",="002F",="AB45",="447B",="447B",="EFC0",="8",="EFC0",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
73,="05A",="E0080094",="094",="FFFF",="FFFF",="002F",="0002",="002F",="004C",="0002",="002F",="AB45",="447B",="447B",="EFC0",="8",="EFC0",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
74,="094",="02C61095",="095",="002F",="0032",="002F",="0032",="0008",="004C",="0002",="0030",="AB45",="447B",="447B",="EFC0",="8",="EFC0",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
75,="095",="C4000200",="000",="FFFF",="FFFF",="002F",="0032",="0032",="0032",="0002",="0030",="AB45",="447B",="447B",="EFC0",="8",="EFC0",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
76,="000",="20080001",="001",="FFFF",="FFFF",="0032",="0032",="0032",="0032",="0002",="0030",="AB45",="447B",="447B",="EFC0",="8",="EFC0",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
77,="001",="00069002",="002",="0032",="06A0",="0032",="06A0",="0008",="0033",="0002",="0030",="AB45",="447B",="447B",="EFC0",="8",="EFC0",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
78,="002",="CC000003",="003",="FFFF",="FFFF",="0032",="06A0",="06A0",="0033",="06A0",="0030",="AB45",="447B",="447B",="EFC0",="8",="EFC0",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
79,="003",="00000404",="006",="FFFF",="FFFF",="0032",="06A0",="0008",="0033",="06A0",="0030",="AB45",="447B",="447B",="EFC0",="8",="EFC0",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
80,="006",="00000A28",="02C",="FFFF",="FFFF",="0032",="06A0",="0008",="0033",="06A0",="0030",="AB45",="447B",="447B",="EFC0",="8",="EFC0",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
81,="02C",="20080033",="033",="FFFF",="FFFF",="0033",="06A0",="0033",="0033",="06A0",="0030",="AB45",="447B",="447B",="EFC0",="8",="EFC0",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
82,="033",="00069034",="034",="0033",="0045",="0033",="0045",="0008",="0034",="06A0",="0030",="AB45",="447B",="447B",="EFC0",="8",="EFC0",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
83,="034",="C0080035",="035",="FFFF",="FFFF",="0045",="0045",="0045",="0034",="06A0",="0030",="AB45",="447B",="447B",="EFC0",="8",="EFC0",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
84,="035",="00061036",="036",="0045",="1600",="0045",="1600",="0008",="0034",="06A0",="0030",="AB45",="447B",="447B",="EFC0",="8",="EFC0",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
85,="036",="D4000007",="007",="FFFF",="FFFF",="0045",="1600",="1600",="0034",="06A0",="0030",="AB45",="1600",="1600",="EFC0",="8",="EFC0",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
86,="007",="00000800",="07A",="FFFF",="FFFF",="0045",="1600",="0008",="0034",="06A0",="0030",="AB45",="1600",="1600",="EFC0",="8",="EFC0",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
87,="07A",="F4000090",="090",="FFFF",="FFFF",="0045",="1600",="0030",="0034",="06A0",="0030",="AB45",="0030",="0030",="EFC0",="8",="EFC0",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
88,="090",="B2B00091",="091",="FFFF",="FFFF",="0045",="1600",="0045",="0034",="06A0",="0030",="0045",="0030",="002F",="002F",="8",="EFC0",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
89,="091",="7C080092",="092",="FFFF",="FFFF",="002F",="1600",="002F",="0034",="06A0",="002F",="0045",="0030",="0030",="002F",="8",="EFC0",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
90,="092",="20030093",="093",="FFFF",="FFFF",="002F",="0034",="0034",="0034",="06A0",="002F",="0045",="0030",="0030",="002F",="8",="EFC0",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
91,="093",="84052200",="000",="002F",="0034",="002F",="0034",="0045",="0045",="06A0",="002F",="0045",="0030",="0030",="002F",="8",="EFC0",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
92,="000",="20080001",="001",="FFFF",="FFFF",="0045",="0034",="0045",="0045",="06A0",="002F",="0045",="0030",="0030",="002F",="8",="EFC0",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
93,="001",="00069002",="002",="0045",="1600",="0045",="1600",="0008",="0046",="06A0",="002F",="0045",="0030",="0030",="002F",="8",="EFC0",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
94,="002",="CC000003",="003",="FFFF",="FFFF",="0045",="1600",="1600",="0046",="1600",="002F",="0045",="0030",="0030",="002F",="8",="EFC0",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
95,="003",="00000404",="004",="FFFF",="FFFF",="0045",="1600",="0008",="0046",="1600",="002F",="0045",="0030",="0030",="002F",="8",="EFC0",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
96,="004",="00000A08",="00B",="FFFF",="FFFF",="0045",="1600",="0008",="0046",="1600",="002F",="0045",="0030",="0030",="002F",="8",="EFC0",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
97,="00B",="20080012",="012",="FFFF",="FFFF",="0046",="1600",="0046",="0046",="1600",="002F",="0045",="0030",="0030",="002F",="8",="EFC0",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
98,="012",="00069016",="016",="0046",="447B",="0046",="447B",="0008",="0047",="1600",="002F",="0045",="0030",="0030",="002F",="8",="EFC0",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
99,="016",="D0000006",="006",="FFFF",="FFFF",="0046",="447B",="447B",="0047",="1600",="002F",="447B",="0030",="0030",="002F",="8",="EFC0",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
100,="006",="00000A28",="028",="FFFF",="FFFF",="0046",="447B",="0008",="0047",="1600",="002F",="447B",="0030",="0030",="002F",="8",="EFC0",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
101,="028",="54000007",="007",="FFFF",="FFFF",="0046",="447B",="EFC0",="0047",="1600",="002F",="447B",="EFC0",="EFC0",="002F",="8",="EFC0",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
102,="007",="00000800",="041",="FFFF",="FFFF",="0046",="447B",="0008",="0047",="1600",="002F",="447B",="EFC0",="EFC0",="002F",="8",="EFC0",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
103,="041",="94000040",="040",="FFFF",="FFFF",="0046",="447B",="447B",="0047",="1600",="002F",="447B",="447B",="447B",="002F",="8",="EFC0",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
104,="040",="00300E50",="050",="FFFF",="FFFF",="0046",="447B",="0008",="0047",="1600",="002F",="447B",="447B",="447B",="447B",="8",="EFC0",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
105,="050",="68000280",="000",="FFFF",="FFFF",="0046",="447B",="447B",="0047",="1600",="002F",="447B",="447B",="447B",="447B",="8",="447B",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
106,="000",="20080001",="001",="FFFF",="FFFF",="0047",="447B",="0047",="0047",="1600",="002F",="447B",="447B",="447B",="447B",="8",="447B",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
107,="001",="00069002",="002",="0047",="1601",="0047",="1601",="0008",="0048",="1600",="002F",="447B",="447B",="447B",="447B",="8",="447B",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
108,="002",="CC000003",="003",="FFFF",="FFFF",="0047",="1601",="1601",="0048",="1601",="002F",="447B",="447B",="447B",="447B",="8",="447B",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
109,="003",="00000404",="004",="FFFF",="FFFF",="0047",="1601",="0008",="0048",="1601",="002F",="447B",="447B",="447B",="447B",="8",="447B",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
110,="004",="00000A08",="00B",="FFFF",="FFFF",="0047",="1601",="0008",="0048",="1601",="002F",="447B",="447B",="447B",="447B",="8",="447B",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
111,="00B",="20080012",="012",="FFFF",="FFFF",="0048",="1601",="0048",="0048",="1601",="002F",="447B",="447B",="447B",="447B",="8",="447B",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
112,="012",="00069016",="016",="0048",="66CA",="0048",="66CA",="0008",="0049",="1601",="002F",="447B",="447B",="447B",="447B",="8",="447B",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
113,="016",="D0000006",="006",="FFFF",="FFFF",="0048",="66CA",="66CA",="0049",="1601",="002F",="66CA",="447B",="447B",="447B",="8",="447B",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
114,="006",="00000A28",="028",="FFFF",="FFFF",="0048",="66CA",="0008",="0049",="1601",="002F",="66CA",="447B",="447B",="447B",="8",="447B",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
115,="028",="54000007",="007",="FFFF",="FFFF",="0048",="66CA",="AB45",="0049",="1601",="002F",="66CA",="AB45",="AB45",="447B",="8",="447B",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
116,="007",="00000800",="041",="FFFF",="FFFF",="0048",="66CA",="0008",="0049",="1601",="002F",="66CA",="AB45",="AB45",="447B",="8",="447B",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
117,="041",="94000040",="040",="FFFF",="FFFF",="0048",="66CA",="66CA",="0049",="1601",="002F",="66CA",="66CA",="66CA",="447B",="8",="447B",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
118,="040",="00300E50",="050",="FFFF",="FFFF",="0048",="66CA",="0008",="0049",="1601",="002F",="66CA",="66CA",="66CA",="66CA",="8",="447B",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
