±àºÅ,uAddr,uIR,uAR,AB,DB,AR,DR,IB,PC,IR,SP,TR,A,ALU,Shift,PSW,R0,R1,R2,R3,R4,R5,R6,R7,IF,INTR,REQ,MASK
11,="09C",="F400009D",="09D",="FFFF",="FFFF",="0032",="0123",="0030",="0033",="0600",="0030",="0123",="0030",="0030",="0123",="0",="0123",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
12,="09D",="02B0009E",="09E",="FFFF",="FFFF",="0032",="0123",="0000",="0033",="0600",="0030",="0123",="0030",="002F",="002F",="0",="0123",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
13,="09E",="7C080052",="052",="FFFF",="FFFF",="002F",="0123",="002F",="0033",="0600",="002F",="0123",="0030",="0030",="002F",="0",="0123",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
14,="052",="00052000",="000",="002F",="0123",="002F",="0123",="0000",="0033",="0600",="002F",="0123",="0030",="0030",="002F",="0",="0123",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
15,="000",="20080001",="001",="FFFF",="FFFF",="0033",="0123",="0033",="0033",="0600",="002F",="0123",="0030",="0030",="002F",="0",="0123",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
16,="000",="20080001",="001",="FFFF",="FFFF",="0035",="0040",="0035",="0035",="1601",="002F",="0040",="0040",="0040",="0040",="0",="0123",="0040",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
17,="001",="00069002",="002",="0035",="0609",="0035",="0609",="0000",="0036",="1601",="002F",="0040",="0040",="0040",="0040",="0",="0123",="0040",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
18,="002",="CC000003",="003",="FFFF",="FFFF",="0035",="0609",="0609",="0036",="0609",="002F",="0040",="0040",="0040",="0040",="0",="0123",="0040",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
19,="003",="00000404",="006",="FFFF",="FFFF",="0035",="0609",="0000",="0036",="0609",="002F",="0040",="0040",="0040",="0040",="0",="0123",="0040",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
20,="006",="00000A28",="029",="FFFF",="FFFF",="0035",="0609",="0000",="0036",="0609",="002F",="0040",="0040",="0040",="0040",="0",="0123",="0040",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
21,="029",="40080035",="035",="FFFF",="FFFF",="0040",="0609",="0040",="0036",="0609",="002F",="0040",="0040",="0040",="0040",="0",="0123",="0040",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
22,="035",="00061036",="036",="0040",="5544",="0040",="5544",="0000",="0036",="0609",="002F",="0040",="0040",="0040",="0040",="0",="0123",="0040",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
23,="036",="D4000007",="007",="FFFF",="FFFF",="0040",="5544",="5544",="0036",="0609",="002F",="0040",="5544",="5544",="0040",="0",="0123",="0040",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
24,="007",="00000800",="078",="FFFF",="FFFF",="0040",="5544",="0000",="0036",="0609",="002F",="0040",="5544",="5544",="0040",="0",="0123",="0040",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
25,="078",="0030009B",="09B",="FFFF",="FFFF",="0040",="5544",="0000",="0036",="0609",="002F",="0040",="5544",="5544",="5544",="0",="0123",="0040",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
26,="09B",="6003009C",="09C",="FFFF",="FFFF",="0040",="5544",="5544",="0036",="0609",="002F",="0040",="5544",="5544",="5544",="0",="0123",="0040",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
27,="09C",="F400009D",="09D",="FFFF",="FFFF",="0040",="5544",="002F",="0036",="0609",="002F",="0040",="002F",="002F",="5544",="0",="0123",="0040",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
28,="09D",="02B0009E",="09E",="FFFF",="FFFF",="0040",="5544",="0000",="0036",="0609",="002F",="0040",="002F",="002E",="002E",="0",="0123",="0040",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
29,="09E",="7C080052",="052",="FFFF",="FFFF",="002E",="5544",="002E",="0036",="0609",="002E",="0040",="002F",="002F",="002E",="0",="0123",="0040",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
30,="052",="00052000",="000",="002E",="5544",="002E",="5544",="0000",="0036",="0609",="002E",="0040",="002F",="002F",="002E",="0",="0123",="0040",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
31,="000",="20080001",="001",="FFFF",="FFFF",="0036",="5544",="0036",="0036",="0609",="002E",="0040",="002F",="002F",="002E",="0",="0123",="0040",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
32,="001",="00069002",="002",="0036",="0642",="0036",="0642",="0000",="0037",="0609",="002E",="0040",="002F",="002F",="002E",="0",="0123",="0040",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
33,="002",="CC000003",="003",="FFFF",="FFFF",="0036",="0642",="0642",="0037",="0642",="002E",="0040",="002F",="002F",="002E",="0",="0123",="0040",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
34,="003",="00000404",="006",="FFFF",="FFFF",="0036",="0642",="0000",="0037",="0642",="002E",="0040",="002F",="002F",="002E",="0",="0123",="0040",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
35,="006",="00000A28",="028",="FFFF",="FFFF",="0036",="0642",="0000",="0037",="0642",="002E",="0040",="002F",="002F",="002E",="0",="0123",="0040",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
36,="028",="54000007",="007",="FFFF",="FFFF",="0036",="0642",="0000",="0037",="0642",="002E",="0040",="0000",="0000",="002E",="0",="0123",="0040",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
37,="007",="00000800",="079",="FFFF",="FFFF",="0036",="0642",="0000",="0037",="0642",="002E",="0040",="0000",="0000",="002E",="0",="0123",="0040",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
38,="079",="B000009F",="09F",="FFFF",="FFFF",="0036",="0642",="0036",="0037",="0642",="002E",="0036",="0000",="0000",="002E",="0",="0123",="0040",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
39,="09F",="E00800A0",="0A0",="FFFF",="FFFF",="002E",="0642",="002E",="0037",="0642",="002E",="0036",="0000",="0000",="002E",="0",="0123",="0040",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
40,="0A0",="000610A1",="0A1",="002E",="5544",="002E",="5544",="0000",="0037",="0642",="002E",="0036",="0000",="0000",="002E",="0",="0123",="0040",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
41,="0A1",="D40000A2",="0A2",="FFFF",="FFFF",="002E",="5544",="5544",="0037",="0642",="002E",="0036",="5544",="5544",="002E",="0",="0123",="0040",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
42,="0A2",="003000A3",="0A3",="FFFF",="FFFF",="002E",="5544",="0000",="0037",="0642",="002E",="0036",="5544",="5544",="5544",="0",="0123",="0040",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
43,="0A3",="600300A4",="0A4",="FFFF",="FFFF",="002E",="5544",="5544",="0037",="0642",="002E",="0036",="5544",="5544",="5544",="0",="0123",="0040",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
44,="0A4",="800800A5",="0A5",="FFFF",="FFFF",="0036",="5544",="0036",="0037",="0642",="002E",="0036",="5544",="5544",="5544",="0",="0123",="0040",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
45,="0A5",="02C00E50",="050",="FFFF",="FFFF",="0036",="5544",="0000",="0037",="0642",="002F",="0036",="5544",="5544",="5544",="0",="0123",="0040",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
46,="050",="68000280",="000",="FFFF",="FFFF",="0036",="5544",="5544",="0037",="0642",="002F",="0036",="5544",="5544",="5544",="0",="0123",="0040",="5544",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
47,="000",="20080001",="001",="FFFF",="FFFF",="0037",="5544",="0037",="0037",="0642",="002F",="0036",="5544",="5544",="5544",="0",="0123",="0040",="5544",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
48,="000",="20080001",="001",="FFFF",="FFFF",="0039",="0050",="0039",="0039",="1603",="002F",="0050",="0050",="0050",="0050",="0",="0123",="0040",="5544",="0050",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
49,="001",="00069002",="002",="0039",="064B",="0039",="064B",="0000",="003A",="1603",="002F",="0050",="0050",="0050",="0050",="0",="0123",="0040",="5544",="0050",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
50,="002",="CC000003",="003",="FFFF",="FFFF",="0039",="064B",="064B",="003A",="064B",="002F",="0050",="0050",="0050",="0050",="0",="0123",="0040",="5544",="0050",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
51,="003",="00000404",="006",="FFFF",="FFFF",="0039",="064B",="0000",="003A",="064B",="002F",="0050",="0050",="0050",="0050",="0",="0123",="0040",="5544",="0050",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
52,="006",="00000A28",="029",="FFFF",="FFFF",="0039",="064B",="0000",="003A",="064B",="002F",="0050",="0050",="0050",="0050",="0",="0123",="0040",="5544",="0050",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
53,="029",="40080035",="035",="FFFF",="FFFF",="0050",="064B",="0050",="003A",="064B",="002F",="0050",="0050",="0050",="0050",="0",="0123",="0040",="5544",="0050",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
54,="035",="00061036",="036",="0050",="0123",="0050",="0123",="0000",="003A",="064B",="002F",="0050",="0050",="0050",="0050",="0",="0123",="0040",="5544",="0050",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
55,="036",="D4000007",="007",="FFFF",="FFFF",="0050",="0123",="0123",="003A",="064B",="002F",="0050",="0123",="0123",="0050",="0",="0123",="0040",="5544",="0050",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
56,="007",="00000800",="079",="FFFF",="FFFF",="0050",="0123",="0000",="003A",="064B",="002F",="0050",="0123",="0123",="0050",="0",="0123",="0040",="5544",="0050",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
57,="079",="B000009F",="09F",="FFFF",="FFFF",="0050",="0123",="0050",="003A",="064B",="002F",="0050",="0123",="0123",="0050",="0",="0123",="0040",="5544",="0050",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
58,="09F",="E00800A0",="0A0",="FFFF",="FFFF",="002F",="0123",="002F",="003A",="064B",="002F",="0050",="0123",="0123",="0050",="0",="0123",="0040",="5544",="0050",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
59,="0A0",="000610A1",="0A1",="002F",="0123",="002F",="0123",="0000",="003A",="064B",="002F",="0050",="0123",="0123",="0050",="0",="0123",="0040",="5544",="0050",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
60,="0A1",="D40000A2",="0A2",="FFFF",="FFFF",="002F",="0123",="0123",="003A",="064B",="002F",="0050",="0123",="0123",="0050",="0",="0123",="0040",="5544",="0050",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
61,="0A2",="003000A3",="0A3",="FFFF",="FFFF",="002F",="0123",="0000",="003A",="064B",="002F",="0050",="0123",="0123",="0123",="0",="0123",="0040",="5544",="0050",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
62,="0A3",="600300A4",="0A4",="FFFF",="FFFF",="002F",="0123",="0123",="003A",="064B",="002F",="0050",="0123",="0123",="0123",="0",="0123",="0040",="5544",="0050",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
63,="0A4",="800800A5",="0A5",="FFFF",="FFFF",="0050",="0123",="0050",="003A",="064B",="002F",="0050",="0123",="0123",="0123",="0",="0123",="0040",="5544",="0050",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
64,="0A5",="02C00E50",="051",="FFFF",="FFFF",="0050",="0123",="0000",="003A",="064B",="0030",="0050",="0123",="0123",="0123",="0",="0123",="0040",="5544",="0050",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
65,="051",="60030052",="052",="FFFF",="FFFF",="0050",="0123",="0123",="003A",="064B",="0030",="0050",="0123",="0123",="0123",="0",="0123",="0040",="5544",="0050",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
66,="052",="00052000",="000",="0050",="0123",="0050",="0123",="0000",="003A",="064B",="0030",="0050",="0123",="0123",="0123",="0",="0123",="0040",="5544",="0050",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
67,="000",="20080001",="001",="FFFF",="FFFF",="003A",="0123",="003A",="003A",="064B",="0030",="0050",="0123",="0123",="0123",="0",="0123",="0040",="5544",="0050",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
68,="000",="20080001",="001",="FFFF",="FFFF",="003B",="0001",="003B",="003B",="0001",="0030",="0050",="0123",="0123",="0123",="0",="0123",="0040",="5544",="0050",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
69,="000",="20080001",="001",="FFFF",="FFFF",="003C",="0001",="003C",="003C",="0001",="0030",="0050",="0123",="0123",="0123",="0",="0123",="0040",="5544",="0050",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
70,="058",="00000058",="058",="FFFF",="FFFF",="003C",="0000",="0000",="003D",="0000",="0030",="0050",="0123",="0123",="0123",="0",="0123",="0040",="5544",="0050",="0000",="0000",="0000",="0000",="0",="0",="00",="00"